epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,28.885,0.75864,1.19478,1.18359,0.77885,0.49507,0.50567,0.29006,1.75318,1.87566,1.42255,2.92003e-05,2.92003e-05,2.92003e-05
61,29.3056,0.72738,0.8645,0.99851,0.77885,0.49507,0.50567,0.29006,1.75318,1.87566,1.42255,2.89884e-05,2.89884e-05,2.89884e-05
62,29.7459,0.61911,0.6725,1.01007,0.77885,0.49507,0.50567,0.29006,1.75318,1.87566,1.42255,2.87529e-05,2.87529e-05,2.87529e-05
63,30.212,0.90548,1.52527,1.33825,0.75482,0.4091,0.50052,0.30945,1.79071,2.02133,1.46949,2.84938e-05,2.84938e-05,2.84938e-05
64,30.6594,0.78304,0.83126,1.22395,0.75482,0.4091,0.50052,0.30945,1.79071,2.02133,1.46949,2.82112e-05,2.82112e-05,2.82112e-05
65,31.1095,0.71985,0.80318,1.1668,0.75482,0.4091,0.50052,0.30945,1.79071,2.02133,1.46949,2.7905e-05,2.7905e-05,2.7905e-05
66,31.5808,0.7852,1.41106,1.16509,0.77653,0.47994,0.50077,0.30573,1.78157,1.95535,1.4618,2.75753e-05,2.75753e-05,2.75753e-05
67,32.051,0.84978,1.26539,1.26327,0.77653,0.47994,0.50077,0.30573,1.78157,1.95535,1.4618,2.7222e-05,2.7222e-05,2.7222e-05
68,32.4873,0.83863,0.9794,1.16301,0.77653,0.47994,0.50077,0.30573,1.78157,1.95535,1.4618,2.68451e-05,2.68451e-05,2.68451e-05
69,32.9709,0.87405,0.93652,1.22042,0.8384,0.48481,0.53215,0.31149,1.78091,1.97413,1.45586,2.64447e-05,2.64447e-05,2.64447e-05
70,33.395,0.65288,0.66013,1.03276,0.8384,0.48481,0.53215,0.31149,1.78091,1.97413,1.45586,2.60207e-05,2.60207e-05,2.60207e-05
71,33.8326,0.72248,0.7099,1.1056,0.8384,0.48481,0.53215,0.31149,1.78091,1.97413,1.45586,2.55731e-05,2.55731e-05,2.55731e-05
72,34.3115,0.53402,0.74254,1.05056,0.83667,0.48233,0.53123,0.32277,1.78913,1.9801,1.47219,2.5102e-05,2.5102e-05,2.5102e-05
73,34.7733,0.81825,0.76324,1.20319,0.83667,0.48233,0.53123,0.32277,1.78913,1.9801,1.47219,2.46073e-05,2.46073e-05,2.46073e-05
74,35.1989,0.63428,0.69455,1.18408,0.83667,0.48233,0.53123,0.32277,1.78913,1.9801,1.47219,2.40891e-05,2.40891e-05,2.40891e-05
